Moisture,Rainfall,Average Humidity,Mean Temp,millet yield
-0.560942555,-0.710875824,-1.4558342,1.495726496,-1.043292683
1.364918813,-0.730769231,-1.401106163,0.982905983,1.395731707
-0.266867907,-0.730769231,-1.510562238,0.811965812,1.395731707
-1.209818712,-0.730769231,-1.674746349,0.811965812,1.395731707
-1.169928571,-0.730769231,-1.729474386,1.153846154,0.78597561
2.535494567,-0.730769231,-1.620018312,1.41025641,-1.043292683
0.94567495,-0.730769231,-1.565290275,1.153846154,-1.043292683
-0.388801509,-0.72918978,-1.729474386,1.324786325,-1.043292683
0.194055634,-0.730769231,-1.674746349,1.324786325,-1.043292683
0.731560463,-0.730769231,-1.838930461,1.666666667,-1.043292683
0.074046982,-0.730769231,-1.401106163,1.324786325,-1.043292683
-1.94344497,-0.730769231,-1.182194014,1.581196581,-1.043292683
0.243878471,-0.626546374,-1.729474386,1.495726496,0.176219512
-1.548038431,-0.730769231,-1.784202424,1.41025641,-1.043292683
0.201017404,-0.730769231,-1.401106163,1.666666667,-1.043292683
-0.406441851,-0.730769231,-1.620018312,1.495726496,-1.043292683
1.553778773,-0.730769231,-1.346378126,1.581196581,-1.043292683
-0.199171026,-0.730769231,-1.4558342,1.41025641,-1.043292683
0.096855936,-0.730769231,-1.784202424,1.495726496,-1.043292683
1.767056439,-0.730769231,-1.674746349,1.324786325,-1.043292683
-0.028294366,-0.730769231,-1.784202424,1.153846154,-1.043292683
0.419826962,-0.730769231,-1.510562238,1.324786325,-1.043292683
-0.666149296,-0.730769231,-1.236922051,0.982905983,1.395731707
-0.989235312,-0.730769231,-1.838930461,1.239316239,-1.043292683
-0.890090241,-0.730769231,-1.784202424,1.324786325,-1.043292683
0.204248692,-0.730769231,-1.565290275,1.495726496,-1.043292683
0.590210563,-0.422971429,-1.565290275,1.495726496,0.176219512
-1.591088732,-0.479954286,-1.236922051,1.837606838,0.78597561
-0.994036117,-0.553885055,-1.346378126,1.837606838,-1.043292683
-1.500735412,-0.730769231,-1.674746349,1.837606838,0.78597561
0.606768209,-0.730769231,-0.47072953,1.324786325,-1.043292683
0.336073642,-0.730769231,-0.416001493,0.811965812,-0.433536585
0.797161871,-0.730769231,-1.127465977,1.153846154,-1.043292683
0.994402716,-0.730769231,-1.236922051,1.495726496,-1.043292683
-0.582897284,-0.730769231,-1.346378126,1.581196581,-1.043292683
-0.894341751,-0.730769231,-1.291650089,1.153846154,-1.043292683
0.681784205,-0.730769231,-1.291650089,1.324786325,-1.043292683
-0.778404527,-0.730769231,-0.799097754,1.153846154,-1.043292683
0.870737626,-0.730769231,-1.127465977,1.324786325,-1.043292683
0.204984205,-0.730769231,-1.4558342,1.581196581,-1.043292683
